ElectricStorage.size_kw,ElectricStorage.size_kwh,ElectricStorage.initial_capital_cost,ElectricUtility.lifecycle_emissions_tonnes_PM25,ElectricUtility.lifecycle_emissions_tonnes_SO2,ElectricUtility.lifecycle_emissions_tonnes_NOx,ElectricUtility.lifecycle_emissions_tonnes_CO2,ElectricTariff.lifecycle_fixed_cost_after_tax,ElectricTariff.lifecycle_energy_cost_after_tax,Site.total_renewable_energy_fraction,Site.annual_emissions_tonnes_PM25,PV.size_kw,PV.annual_energy_produced_kwh,PV.lcoe_per_kwh,PV.lifecycle_om_cost_after_tax,Financial.lcc,Financial.lifecycle_om_costs_after_tax,Financial.lifecycle_capital_costs_plus_om_after_tax,Financial.lifecycle_emissions_cost_health,Financial.lifecycle_outage_cost,Financial.initial_capital_costs_after_incentives,Financial.lifecycle_storage_capital_costs,Financial.lifecycle_om_costs_before_tax,Financial.lifecycle_emissions_cost_climate,Financial.lifecycle_fuel_costs_after_tax,Financial.lifecycle_capital_costs,Financial.replacements_future_cost_after_tax,Financial.developer_om_and_replacement_present_cost_after_tax
106.62,147.06,110847.0,1.74,18.57,18.57,27316.9,50593.04,1232601.57,0.194933,0.08,344.9445,436729.23,0.0906,173911.0,2979708.8014,173910.6527,483288.0629,49.28,0.0,278951.9136,111643.6882,217388.3159,916292.79,0.0,309377.4101,82871.3907,204336.1493
106.67,147.13,110899.5,1.74,18.58,18.58,27329.63,50593.04,1233176.21,0.194933,0.08,345.1053,436932.4,0.0906,173992.0,2981074.3566,173991.73,483513.372,49.3,0.0,279081.9611,111695.7365,217489.6625,916719.97,0.0,309521.642,82910.0254,204431.4109
106.72,147.2,110952.0,1.74,18.59,18.59,27342.37,50593.04,1233750.85,0.194933,0.08,345.2661,437136.5,0.0906,174073.0,2982439.9117,174072.8072,483738.6811,49.32,0.0,279212.0086,111747.7849,217591.009,917147.14,0.0,309665.8739,82948.66,204526.6725
106.77,147.27,111004.5,1.74,18.6,18.6,27355.1,50593.04,1234325.49,0.194933,0.08,345.427,437339.67,0.0906,174154.0,2983805.4668,174153.8844,483963.9903,49.35,0.0,279342.0562,111799.8332,217692.3555,917574.32,0.0,309810.1058,82987.2947,204621.9341
106.82,147.34,111057.0,1.74,18.61,18.61,27367.84,50593.04,1234900.12,0.194933,0.08,345.5878,437543.77,0.0906,174235.0,2985171.022,174234.9617,484189.2994,49.37,0.0,279472.1037,111851.8816,217793.7021,918001.5,0.0,309954.3377,83025.9294,204717.1957
100.16,138.15,104131.0,1.63,17.45,17.45,25661.33,50593.04,1157898.44,0.194933,0.08,324.0388,410260.48,0.0906,163371.0,2802186.6341,163370.6132,453997.8773,46.29,0.0,262045.737,104877.4041,204213.2665,860759.9,0.0,290627.2641,77848.8821,191952.1402
106.87,147.41,111109.5,1.74,18.62,18.62,27380.58,50593.04,1235474.76,0.194933,0.08,345.7486,437746.93,0.0906,174316.0,2986536.5771,174316.0389,484414.6085,49.39,0.0,279602.1512,111903.9299,217895.0486,918428.67,0.0,310098.5696,83064.5641,204812.4573
106.92,147.47,111157.0,1.74,18.63,18.63,27393.31,50593.04,1236049.4,0.194933,0.08,345.9094,437951.04,0.0906,174397.0,2987902.1322,174397.1161,484639.9176,49.42,0.0,279732.1987,111955.9782,217996.3951,918855.85,0.0,310242.8015,83103.1988,204907.7189
106.97,147.54,111209.5,1.74,18.63,18.63,27406.05,50593.04,1236624.04,0.194933,0.08,346.0702,438154.2,0.0906,174478.0,2989267.6874,174478.1933,484865.2267,49.44,0.0,279862.2462,112008.0266,218097.7417,919283.03,0.0,310387.0334,83141.8334,205002.9805
107.02,147.61,111262.0,1.74,18.64,18.64,27418.78,50593.04,1237198.68,0.194933,0.08,346.231,438358.31,0.0906,174559.0,2990633.2425,174559.2706,485090.5359,49.46,0.0,279992.2937,112060.0749,218199.0882,919710.2,0.0,310531.2653,83180.4681,205098.2421
